"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets received","Likes received","User Id",Name,Username,"Verified or Non-Verified","Profile URL","Protected or Not Protected"
"""1432572327443660803""",https://twitter.com/elex_michaelson/status/1432572327443660803,"2021-08-31 05:13:53","""&quot;There's another choice!&quot;

@Kevin_Faulconer campaigns against BOTH @GavinNewsom AND @larryelder in a statewide bus tour. 

&quot;We cannot replace one dysfunctional Governor with another.&quot;

In L.A., Faulconer slams Elder's past comments about women &amp;amp; drugs. 

1/2 of our @FOXLA story. https://t.co/rJ2eaZ8LKl""",Retweet,"Twitter Web App",16,73,"""937422446323314688""","""Elex Michaelson""",elex_michaelson,Verified,https://twitter.com/elex_michaelson,"Not Protected"
"""1432559519771475970""",https://twitter.com/kevin_faulconer/status/1432559519771475970,"2021-08-31 04:22:59","""Final stop of the bus tour: San Diego! Thank you to everyone who attended.

Together, we’re going to clean up our streets, keep all neighborhoods safe and make our state more affordable for everyone. 

✅YES on Recall.
✅YES on Faulconer. 

#RecallGavinNewsom #RecallNewsom https://t.co/aSw0o2WICw""",Tweet,"Twitter for iPhone",14,78,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432471332487241729""",https://twitter.com/kevin_faulconer/status/1432471332487241729,"2021-08-30 22:32:34","""@HeartSongForte Yes you did! Thank you for coming out @HeartSongForte. Keep up the good work!""",Reply,"Twitter for iPhone",0,9,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432456618990440450""",https://twitter.com/elex_michaelson/status/1432456618990440450,"2021-08-30 21:34:06","""Spoke one on one with @Kevin_Faulconer about the #CARecall race. 

Look for the interview on @FOXLA tonight at 5, 6, 7, and 10pm. https://t.co/NNFnv82eFg""",Retweet,"Twitter for iPhone",10,57,"""937422446323314688""","""Elex Michaelson""",elex_michaelson,Verified,https://twitter.com/elex_michaelson,"Not Protected"
"""1432455693798232065""",https://twitter.com/kevin_faulconer/status/1432455693798232065,"2021-08-30 21:30:25","""Quick update from Orange County — remember to vote! 

✅ YES on Recall.
✅ YES on Faulconer. 

#RecallGavinNewsom https://t.co/HWbXMomCPu""",Tweet,"Twitter for iPhone",11,57,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432450937130401794""",https://twitter.com/abc7joshhaskell/status/1432450937130401794,"2021-08-30 21:11:31","""We’re on the #CaliforniaRecall campaign trail today with republican @Kevin_Faulconer in MacArthur Park who is continuing to go after the Republican leading in the polls @larryelder @ABC7 https://t.co/ust7kVoKdQ""",Retweet,"Twitter Web App",5,32,"""152350703""","""Josh Haskell""",abc7joshhaskell,Verified,https://twitter.com/abc7joshhaskell,"Not Protected"
"""1432450840220995585""",https://twitter.com/elex_michaelson/status/1432450840220995585,"2021-08-30 21:11:08",""".@Kevin_Faulconer holds a press conference surrounded by working women. 

They’re attacking @larryelder’s past comments re: women. https://t.co/Y6aD1rTWXQ""",Retweet,"Twitter Web App",12,56,"""937422446323314688""","""Elex Michaelson""",elex_michaelson,Verified,https://twitter.com/elex_michaelson,"Not Protected"
"""1432429351601987584""",https://twitter.com/sjvsun/status/1432429351601987584,"2021-08-30 19:45:45","""Former San Diego Mayor Kevin Faulconer received a water education from members of the Latino Water Coalition, Fresno County Supervisors, and an assemblage of some of the top water experts in the region. https://t.co/nenwKqLy6Q""",Retweet,"Twitter for iPhone",8,21,"""1082888585278193664""","""The San Joaquin Valley Sun""",sjvsun,Non-Verified,https://twitter.com/sjvsun,"Not Protected"
"""1432425610433884163""",https://twitter.com/kevin_faulconer/status/1432425610433884163,"2021-08-30 19:30:53","""Started my morning in Los Angeles. There’s so much at stake in this recall election — ending open air drug markets, making our state more affordable and keeping our neighborhoods safe. We cannot replace one dysfunctional governor with another.

✅YES on Recall
✅YES on Faulconer https://t.co/nQjEpk24yH""",Tweet,"Twitter Web App",15,66,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432146881342152706""",https://twitter.com/kevin_faulconer/status/1432146881342152706,"2021-08-30 01:03:19","""One of my favorite moments on the road so far was seeing my Little League Coach at a meet and greet event earlier this week. 

Thank you for coming by, Coach! https://t.co/O7JP4moE6p""",Tweet,"Twitter for iPhone",3,60,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432086062298329091""",https://twitter.com/kevin_faulconer/status/1432086062298329091,"2021-08-29 21:01:38","""As governor, I will help small businesses safely recover from COVID and support the hundreds of thousands of people they employ. 

Learn more about my plan to Save California Restaurants: https://t.co/KpCmAWryqx

✅YES on Recall.
✅YES on Faulconer.

#RecallGavinNewsom""",Reply,"Twitter Web App",7,26,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432086058699685888""",https://twitter.com/kevin_faulconer/status/1432086058699685888,"2021-08-29 21:01:37","""I’m in Escondido today at Sierra Madre Cantina, a local restaurant that was featured on @BarRescue shortly before being shut down by COVID restrictions. 

Like so many other small businesses in our state, they have had trouble keeping their doors open after a year of hardship. https://t.co/ix8mMTGCo6""",Tweet,"Twitter Web App",11,51,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1432055950421024768""",https://twitter.com/mrmokelly/status/1432055950421024768,"2021-08-29 19:01:59","""@Kevin_Faulconer, former mayor of San Diego, is confirmed to join me tonight on The Mo'Kelly Show to discuss his vision for the &quot;California Comeback.&quot;  Listen in on @KFIAM640, https://t.co/Pmd6j2qTwa and @iHeartRadio!""",Retweet,"Twitter Web App",3,7,"""22596600""","""Mr. Mo'Kelly 🎙️📺""",mrmokelly,Verified,https://twitter.com/mrmokelly,"Not Protected"
"""1432050768987635712""",https://twitter.com/joegarofoli/status/1432050768987635712,"2021-08-29 18:41:24","""'Who should I vote for in the recall?' Democratic advisors tell recall opponents if you really don’t want to leave the ballot blank, vote ⁦@Kevin_Faulconer⁩ https://t.co/oq6g5tRHyT""",Retweet,"Twitter Web App",42,113,"""17499394""","""Joe Garofoli""",joegarofoli,Verified,https://twitter.com/joegarofoli,"Not Protected"
"""1432001644879777792""",https://twitter.com/kevin_faulconer/status/1432001644879777792,"2021-08-29 15:26:12","""Excited to visit Escondido today for our next stop on the California Comeback bus tour at the Sierra Madre Cantina!

Join us at 12:00 PM. Sign up here: https://t.co/NK9H0VjfEL""",Tweet,"Twitter Web App",7,26,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431803245454770177""",https://twitter.com/kevin_faulconer/status/1431803245454770177,"2021-08-29 02:17:49","""Final stop today: Rancho Cucamonga with @rosilicie. Thank you all who came out to meet! 

Californians everywhere are ready to #RecallGavinNewsom. 
 
✅YES on Recall.
✅YES on Faulconer. https://t.co/FGQQNunIZP""",Tweet,"Twitter for iPhone",7,33,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431748826260393990""",https://twitter.com/kevin_faulconer/status/1431748826260393990,"2021-08-28 22:41:35","""Gavin Newsom is in over his head, we all know it, it's why we're recalling him. I got people off the street and into shelter as mayor of San Diego, I'll do it again for all of California as governor. https://t.co/cEZZNEEIRj""",Tweet,"Twitter Web App",13,117,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431732869991333888""",https://twitter.com/kevin_faulconer/status/1431732869991333888,"2021-08-28 21:38:11","""Quick update from Little Saigon in Fountain Valley. 

#RecallGavinNewsom https://t.co/QrTXNthTun""",Tweet,"Twitter for iPhone",5,33,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431728803055751170""",https://twitter.com/kevin_faulconer/status/1431728803055751170,"2021-08-28 21:22:01","""Stopped by Hue Oi Vietnamese Cuisine in Fountain Valley today where I spoke with @TylerDiep and @VietFaceTV about the impacts of COVID closures on local small businesses. 
 
✅YES on Recall.
✅YES on Faulconer.

#RecallGavinNewsom https://t.co/iMRH39K7ui""",Tweet,"Twitter for iPhone",4,27,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431723994999185409""",https://twitter.com/kevin_faulconer/status/1431723994999185409,"2021-08-28 21:02:55","""The last stop of our California Comeback bus tour today is in Rancho Cucamonga at 6pm! Sign up here: https://t.co/6T6tVDjW91""",Tweet,"Twitter Web App",6,38,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431693816311029761""",https://twitter.com/kevin_faulconer/status/1431693816311029761,"2021-08-28 19:03:00","""Thank you to Senate Republican Leader @ScottWilkCA and Assemblywoman @suzettemartinez for firing up the big crowd today! Change is coming to California and retirement is coming for Newsom.
 
✅YES on Recall.
✅YES on Faulconer. https://t.co/WR5vQ7gS8m""",Tweet,"Twitter for iPhone",12,47,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431653446889840640""",https://twitter.com/kristinvartantv/status/1431653446889840640,"2021-08-28 16:22:35","""I spoke to California gubernatorial recall candidate, @Kevin_Faulconer about how he would handle homelessness, the pandemic, public safety, and wildfires if he were to become the next governor of California. 

Watch the full interview here:
https://t.co/CPjpTJLWdW https://t.co/tIamcRi8we""",Retweet,"Twitter Web App",5,21,"""2731243312""","""Kristin Vartan""",kristinvartantv,Verified,https://twitter.com/kristinvartantv,"Not Protected"
"""1431630787783233537""",https://twitter.com/kevin_faulconer/status/1431630787783233537,"2021-08-28 14:52:32","""Good morning! I’ll be in Santa Clarita this morning at 10:30am for a meet &amp;amp; greet event with @ScottWilkCA and @SuzetteMartinez. 

Doors open at 10am. Hope to see you there!

Sign up: https://t.co/UaSp14VHKV""",Tweet,"Twitter for iPhone",5,26,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431461754651906048""",https://twitter.com/kevin_faulconer/status/1431461754651906048,"2021-08-28 03:40:52","""Wrapped up the day in Bakersfield interviewing with @23ABCNews' @kristinvartantv and stopping by the iconic Wool Growers restaurant for dinner.

We're only 18 days until we #RecallGavinNewsom and put this state back on track. 

✅YES on Recall.
✅YES on Faulconer. https://t.co/PrESMAiw65""",Tweet,"Twitter for iPhone",13,54,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
"""1431398048198901763""",https://twitter.com/kevin_faulconer/status/1431398048198901763,"2021-08-27 23:27:43","""We cannot replace one dysfunctional governor with another. As Californians cast their ballots, I ask for their vote. YES on the recall, reject Newsom and Elder. (5/5)""",Reply,"Twitter Web App",6,36,"""48534208""","""Kevin Faulconer""",kevin_faulconer,Verified,https://twitter.com/kevin_faulconer,"Not Protected"
